index,Time,PTS_Casa,PTS_Fora,PTS_Total,Posicao,Dependencia_Casa,Expulsos_Total,Evolucao,publico_jogo,publico_por_ponto
1,Atletico-MG,32,24,56,7,57.14285714285714,6,-8,39256.0,701.0
8,Flamengo,40,27,67,1,59.70149253731343,4,13,42520.0,634.6268656716418
18,Sport,24,7,31,20,77.41935483870968,16,5,15570.0,502.258064516129
9,Fluminense,31,15,46,16,67.3913043478261,8,16,22088.0,480.17391304347825
17,Sao Paulo,42,23,65,3,64.61538461538461,14,-1,26229.0,403.5230769230769
5,Corinthians,32,20,52,10,61.53846153846154,6,-4,20514.0,394.5
7,Cruzeiro,30,32,62,4,48.38709677419355,15,18,21911.0,353.4032258064516
6,Coritiba,34,11,45,17,75.55555555555556,6,7,15380.0,341.77777777777777
0,Athletico-PR,33,15,48,13,68.75,6,0,16278.0,339.125
11,Gremio,47,8,55,9,85.45454545454545,12,-1,18300.0,332.72727272727275
4,Botafogo-RJ,31,16,47,15,65.95744680851064,9,5,15144.0,322.21276595744683
13,Nautico,28,10,38,19,73.68421052631578,13,2,11894.0,313.0
14,Palmeiras,40,22,62,5,64.51612903225806,10,-12,18463.0,297.7903225806452
19,Vitoria,38,10,48,14,79.16666666666666,11,-2,13577.0,282.8541666666667
12,Internacional,40,25,65,2,61.53846153846154,10,-9,18129.0,278.9076923076923
10,Goias,33,22,55,8,60.0,13,-15,11944.0,217.16363636363636
16,Santos,30,19,49,11,61.224489795918366,6,-3,9334.0,190.48979591836735
2,Avai,36,21,57,6,63.1578947368421,5,-3,10375.0,182.01754385964912
15,Santo Andre,29,12,41,18,70.73170731707317,9,5,4728.0,115.3170731707317
3,Barueri,37,12,49,12,75.51020408163265,8,-7,3701.0,75.53061224489795
